MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1920150	Ndufv2	NADH:ubiquinone oxidoreductase core subunit V2	17		mitochondrial electron transport, NADH to ubiquinone			ISO	P19404 	J:164563 	
MGI:1890894	Ndufv3	NADH:ubiquinone oxidoreductase core subunit V3	17		mitochondrial ATP synthesis coupled electron transport			ISO	P56181 	J:164563 	
MGI:1278343	Nipsnap2	nipsnap homolog 2	5		oxidative phosphorylation			ISO	O75323 	J:164563 	
MGI:1891834	Nupr1	nuclear protein transcription regulator 1	7		positive regulation of oxidative phosphorylation			ISO	O60356 	J:164563 	
MGI:2135637	Park7	Parkinson disease (autosomal recessive, early onset) 7	4		positive regulation of mitochondrial electron transport, NADH to ubiquinone			IMP		J:212799 	
MGI:2135637	Park7	Parkinson disease (autosomal recessive, early onset) 7	4		positive regulation of mitochondrial electron transport, NADH to ubiquinone			ISO	Q99497 	J:164563 	
MGI:2446107	Pde2a	phosphodiesterase 2A, cGMP-stimulated	7		negative regulation of oxidative phosphorylation			IMP		J:177215 	
MGI:2443226	Pde12	phosphodiesterase 12	14		negative regulation of oxidative phosphorylation			ISO	Q6L8Q7 	J:164563 	
MGI:97555	Pgk1	phosphoglycerate kinase 1	X		positive regulation of oxidative phosphorylation			IBA	PTN000150497 	J:265628 	
MGI:97563	Pgk2	phosphoglycerate kinase 2	17		positive regulation of oxidative phosphorylation			IBA	PTN000150497 	J:265628 	
MGI:1916193	Pink1	PTEN induced putative kinase 1	4		positive regulation of mitochondrial electron transport, NADH to ubiquinone	regulates a function/process that has the participant Ndufa10		IMP		J:209583 	
MGI:1916193	Pink1	PTEN induced putative kinase 1	4		regulation of oxidative phosphorylation			ISO	Q9BXM7 	J:164563 	
MGI:2145814	Ppif	peptidylprolyl isomerase F (cyclophilin F)	14		negative regulation of oxidative phosphorylation			IMP		J:196258 	
MGI:1096342	Rhoa	ras homolog family member A	9		negative regulation of oxidative phosphorylation			IMP		J:221513 	
MGI:1914195	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	13		mitochondrial electron transport, succinate to ubiquinone			IBA	PTN000180258 	J:265628 	
MGI:1913322	Sdhaf2	succinate dehydrogenase complex assembly factor 2	19		mitochondrial electron transport, succinate to ubiquinone			IBA	PTN000279729 	J:265628 	
MGI:1913322	Sdhaf2	succinate dehydrogenase complex assembly factor 2	19		mitochondrial electron transport, succinate to ubiquinone			ISO	Q9NX18 	J:164563 	
MGI:1913302	Sdhc	succinate dehydrogenase complex, subunit C, integral membrane protein	1		mitochondrial electron transport, succinate to ubiquinone			IBA	PTN000104658 	J:265628 	
MGI:1914175	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	9		mitochondrial electron transport, succinate to ubiquinone			IBA	PTN001000243 	J:265628 	
MGI:1277989	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	10		regulation of oxidative phosphorylation			IBA	PTN001706179 	J:265628 	
MGI:1277989	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	10		regulation of oxidative phosphorylation			IMP		J:259713 	
MGI:1277989	Shmt2	serine hydroxymethyltransferase 2 (mitochondrial)	10		regulation of oxidative phosphorylation			ISO	P34897 	J:164563 	
MGI:1914222	Slc25a23	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	17		regulation of oxidative phosphorylation			IMP	MGI:5500043 	J:196890 	
MGI:1917806	Slc25a33	solute carrier family 25, member 33	4		regulation of oxidative phosphorylation			ISO	Q9BSK2 	J:164563 	
MGI:1277151	Snca	synuclein, alpha	6		mitochondrial ATP synthesis coupled electron transport	happens in brain		IMP	MGI:2389489 	J:102361 	
MGI:1913842	Stoml2	stomatin (Epb7.2)-like 2	4		mitochondrial ATP synthesis coupled proton transport			IMP		J:149906 J:187877 	
MGI:1913842	Stoml2	stomatin (Epb7.2)-like 2	4		mitochondrial ATP synthesis coupled proton transport			ISO	Q9UJZ1 	J:164563 	
MGI:98443	Surf1	surfeit gene 1	2		oxidative phosphorylation			ISO	Q15526 	J:164563 	
MGI:109626	Taz	tafazzin	X		mitochondrial ATP synthesis coupled electron transport			ISO	Q16635 	J:164563 	
MGI:1915800	Tefm	transcription elongation factor, mitochondrial	11		oxidative phosphorylation			ISO	Q96QE5 	J:164563 	
MGI:104798	Tnf	tumor necrosis factor	17		negative regulation of oxidative phosphorylation			ISO	RGD:3876 	J:155856 	
MGI:1914517	Uqcc2	ubiquinol-cytochrome c reductase complex assembly factor 2	17		regulation of oxidative phosphorylation			IMP		J:202581 	
MGI:1914517	Uqcc2	ubiquinol-cytochrome c reductase complex assembly factor 2	17		regulation of oxidative phosphorylation			ISO	Q9BRT2 	J:164563 	
MGI:2147553	Uqcc3	ubiquinol-cytochrome c reductase complex assembly factor 3	19		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN002193739 	J:265628 	
MGI:2147553	Uqcc3	ubiquinol-cytochrome c reductase complex assembly factor 3	19		mitochondrial electron transport, ubiquinol to cytochrome c			ISO	Q6UW78 	J:164563 	
MGI:1913402	Uqcr10	ubiquinol-cytochrome c reductase, complex III subunit X	11		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN000312316 	J:265628 	
MGI:1914780	Uqcrb	ubiquinol-cytochrome c reductase binding protein	13		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN000246311 	J:265628 	
MGI:107876	Uqcrc1	ubiquinol-cytochrome c reductase core protein 1	9		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN002627006 	J:265628 	
MGI:107876	Uqcrc1	ubiquinol-cytochrome c reductase core protein 1	9		mitochondrial electron transport, ubiquinol to cytochrome c			IDA		J:110323 	
MGI:1913944	Uqcrfs1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	13		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN002228081 	J:265628 	
MGI:1913826	Uqcrh	ubiquinol-cytochrome c reductase hinge protein	4		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN000393767 	J:265628 	
MGI:107807	Uqcrq	ubiquinol-cytochrome c reductase, complex III subunit VII	11		mitochondrial electron transport, ubiquinol to cytochrome c			IBA	PTN000950370 	J:265628 	
MGI:99919	Vcp	valosin containing protein	4		positive regulation of oxidative phosphorylation			ISO	P55072 	J:164563 	

